"1616109740000.jpg" :{"time" :1616109740000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109741000.jpg" :{"time" :1616109741000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109742000.jpg" :{"time" :1616109742000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109743000.jpg" :{"time" :1616109743000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109744000.jpg" :{"time" :1616109744000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109745000.jpg" :{"time" :1616109745000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109746000.jpg" :{"time" :1616109746000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109747000.jpg" :{"time" :1616109747000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240295,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109748000.jpg" :{"time" :1616109748000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109749000.jpg" :{"time" :1616109749000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109750000.jpg" :{"time" :1616109750000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.260000 ,"p":1.510000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":8,"quality":1}
"1616109751000.jpg" :{"time" :1616109751000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109752000.jpg" :{"time" :1616109752000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109753000.jpg" :{"time" :1616109753000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
"1616109754000.jpg" :{"time" :1616109754000,"valid":1, "speed" :0.000000 ,"dop":{ "h":1.110000 ,"p":1.390000 ,"v":0.840000 },"GPS":{"E":112.978073 ,"N":28.240294,"H":148.000000},"totalSats":80 ,"satellites":9,"quality":1}
